brand,description,image_urls,images,name,product_url,sku
,Try our other Taj frozen products Cassava Pigeon Peas Samosa Pads Spring Roll Pastry. Country of Origin: Costa Rica Origin Free Text Pack Type: Bag - Plastic,,,Taj Family Cassava,https://andradebutcher.co.uk/maintenance/produto/mandioca-1kg/,5017079666995
Britannia,,,,Yippee Noodles 70GM,https://apniroots.com/product/yippee-noodles10gm/,841905090013
CDC Catering Ambient,Knorr Professional Vegetable Bouillon A great start to your dishes. Knorr Professional Vegetable Bouillon has been gently simmered to ensure a rich taste in a scratch- like jelly texture. Suitable for Vegans Suitable for Vegetarians Free From Gluten Free From Artificial Colours Free From Artificial Preservatives Free From Added MSG Pack Type: Jar,,,Knorr Jelly Bouillon Veg,,8712100583964
D / Contin,,,,Deli Contin 4 Plain Bagels,,5021684008682
Cadbury,Suitable for Vegetarians Contains Milk May Contain Nuts May Contain Wheat Contains Soya Pack Type: Heat Sealed,,,Cadbury Marvellous Creations,https://britsrus.com/shop/cadbury-marvellous-creations/,7622210736093
brand,description,image_urls,images,name,product_url,sku
,The Simpsons Eezy Freezy 2in1 Pops,,,The Simpsons Eezy Freezy 2in1 Pops,,5060221248464
Zed Candy,,,,Zed Candy - 5 Jawbreakers - Ice Cream,,5011061112118
MRS Crimbles,Mrs Crimbles Jammy Sponge,,,Mrs Crimbles Jammy Sponge,,5010822112053
,,,,Natco Jeera Mini Pappadoms 200G,https://www.somayaskitchen.co.uk/natco-jeera-mini-pappadoms.html,5013531001571
,"Store in a cool, dry place. Once pack is opened store in an airtight container. Place cake on a firm surface. For Best Before see top of pack",,,Avengers Celebration Cake,,5030765028051
Pears,,,,Pears Soft and FR Soap 125GM,,8901030408762
Ola Unilever Retail,"Smooth Vanilla 500ml; Smooth and creamy vanilla just got a whole lot more exciting at 290 calories per tub. Introducing new Breyers Delights, a revolutionary lower calorie ice cream for healthy lifestyle enthusiasts which not only tastes great, but has only 290-350 calories per tub (yep, that's per tub) , lower sugar, up to 20g of protein and is made with fresh cream. What do we do to make our healthy ice cream taste so good; Each tub of high protein ice cream contains 20g of milk protein from two naturally occurring milk proteins; casein and whey. A naturally sourced sweetener, derived from the leaves of the Stevia rebaudiana plant, we use a highly purified extract of the Stevia leaf to give our icecream the sweetness it needs, which means less sugar and less calories per serving. Fresh cream gives our ice cream its deliciously creamy taste and texture. We believe in making the impossible possible by creating a reduced sugar ice cream tub that allows you to limit your calorie intake whilst treating yourself - without compromising on taste. For more information on our lower calorie, deliciously healthy treat range, please visit our website www. breyersdelights. co. uk or follow us on Instagram @BreyersDelightsUK. Storage temperature: -18°C",,,Breyers Smooth Vanilla Ice Cream 500ML,https://carrefour.gospesa.it/turrivalignani/home/3782-breyers-delights-smooth-vaniglia-263-g-8714100648391.html,8714100648391
Head & Shoulders,"Fights 5 signs: flakes, itchiness, dryness, oiliness, irritation cool menthol. Fights dandruff for a healthy scalp: Fight 5 signs of dandruff to help restore the health of your scalp. Contains scalp nourishing formula with VitaZinc. Cools & refreshes: This formula with natural menthol cools and cleanses scalp & hair, for a cool refreshing wash. Gentle for everyday use - pH balanced formula.",,,Head & Shoulders Cool Menthol Anti-dandruff Shampoo 400ML,https://www.superbuys.com.au/head-shoulders-cool-menthol-anti-dandruff-shampoo,4902430964166
Bonduelle,,,,Bonduelle - Spicy Mushroom Lecho 800ML,https://internetowysupermarket.pl/product-eng-91963-Bonduelle-Leczo-Mushrooms-spicy-780ml.html,5900281003408
,As for standard Carling. Cool dark,,,Carling Zest Lager,,5010038441374
,Product of India,,,Top Op Dried Curry Leaves 25G,https://www.justhaat.com/top-op-dried-curry-leaves-25g,5021885009600
,"Find Bahlsen on: Facebook, Twitter and Instagram. Suitable for Vegetarians Contains Eggs Contains Milk Contains Wheat Country of Origin: Poland Origin Free Text Pack Type: Plastic Wrap 6 Servings",,,Bahlsen Hit Cocoa Crème 220G,https://deliverirvine.co.uk/product/bahlsen-hit-cocoa-creme-220g/,4017100936685
DISCONTINUED,4 pack Mini Gel Burst Air Freshener24 Units Per Carton4 pack Mini Gel Burst Air Freshener 4 Assorted Fragrances Fresh Linen Wild Lavender Fresh Berries Indulgent Vanilla.,,,Mini Gel Burst Air Freshener 4 Pack,https://www.mxwholesale.co.uk/products/mini-gel-burst-air-ffreshener,5055566940548
,,,,A4 Card Subject Dividers 5 Part,https://thejadegroup.co.uk/s5001-dividers-5-pt-card-new-club.html,5060116337884
Laziza,"Biryani Masala spice mix with garlic and ginger. Biryani Recipe (Rice with Meat) . Meat (Mutton, Chicken or Beef) 750 gms - 1 kg Basmati Rice (soaked for 30 minutes) 500 - 750 gms (For more/hot masala use 500 gms rice). Onion (medium sized, finely sliced) 4 (250 gms). Tomatoes (medium sized, chopped) 4 (250 gms). Yogurt (beaten) 1 1/2 cup (250 gms). Cooking Oil/Ghee 1 1/2 cup (250 gms). Laziza Biryani Masala one bag only. Optional: chopped Green Coriander 1/2 bunch (1/2 cup), Mint Leaves 1/2 bunch (1/2 cup) & Green Chillies medium whole 6-10. EASY STEPS. 1. Fry onion till it becomes golden brown. Put meat, Laziza Biryani Masala (one bag), tomatoes and fry/cook for 5-10 minutes. Now add yogurt and fry for a while. Add 1-2 glasses of water, cover and cook on low flame till the meat is tender & ghee/oil separates. (In case of chicken do not add water if need arises put only 1 cup water). If masala is not thick then cook further on high flame. 2. Separately boil rice in 12 glasses of hot water & with 3-4 tablespoons of salt till half done. 3. Now form one layer of rice and onto it the second layer of meat masala & green masala (optional) then form onto it third layer of rice. 4. Put it on low flame and let simmer for 15-30 minutes or till rice is tender. Mix well before serving. Serve with Laziza Plum Chutney, raita and salad.",,,Laziza Biryani Plain Mix 100G,https://www.somayaskitchen.co.uk/laziza-biryani-masala.html,5028217001103
Strathmore,"For more information about Strathmore & Strathmore Twist flavoured water please visit www. strathmore-water. co. uk. Strathmore is pure, clear Scottish spring water bottled at source in the Vale of Strathmore. The vale of Strathmore is Scotland's largest underground aquifer and the first stage of the Strathmore journey. Every drop of its water is uniquely pure, fresh and rich in minerals and we're proud to share it with you. Stay active and Do More with Strathmore! Want to add a bit of flavour to your hydration, then why not try our Strathmore Twist flavoured water that comes in a range of flavours: Strawberry & Blackberry Lemon & Lime Orange & Peach Raspberry & Apple",,,Strathmore Still Spring Water 75ML,https://www.bbfoodservice.co.uk/product/12710-1,5012058010806
Knorr,Knorr Sos Paprykowo Ziolowy Red Pepper & Herbal Sauce for Salads 9g (3-Pack) Just Add Water and OilQuick and Easy PreparationTaste the Flavor of NatureProduct of Poland,,,Knorr Sos Paprykowo Ziolowy Red Pepper and Herbal Sauce For Salads 9gram Packet (3-pack),http://www.walmart.com/ip/Knorr-Sos-Paprykowo-Ziolowy-Red-Pepper-and-Herbal-Sauce-for-Salads-9gram-Packet-3-Pack/751511501,5900300543786
World Of Pets,Rawhide knot bone with chicken wrap treat Pack of 3 White rawhide bone with tasy chicken wrap Size: 6 Weight: 130g per pack of 2,,,World of Pets White Rawhide Knot Bone W / Chicken Wrap PK2,,5015302207823
,"All-natural sourdough pretzel nuggets generously dusted with lip-smacking honey mustard seasoning. Wide split in nugget allows seasoning to soak deep down into the nugget maximizing the mouthwatering taste. Succulent Honey Mustard flavor. Salted to perfection. Sourdough Pretzel enhances flavor and provides a softer bite. (Easy on teeth!) <br><br><b>Warnings:</b> Allergens: wheat. This product is manufactured in a facility that processes peanuts, treenuts, and sesame seeds.",,,Pretzel Pete Gourmet Pretzel Nuggets Honey Mustard Seasoned,,739748061126
Zhengshi,Pack Of 15Slide Lock Seal Freezer Bags20. 3cm x 17. 8cm,,,Pack of 15 Slide Lock Seal Freezer Bags 20.3CM X 17.8CM Home Kitchen 0176 (parcel Rate),https://www.manchesterwholesale.co.uk/products/slide-lock-seal-freezer-bags-20-3cm-x-17-8cm,5060026001769
Radox,Berry Burry Shower Gel250ml,,,Radox Feel Glam Berry Shower Gel 250ML,http://www.greens.com.mt/productdetails?pid=8711700774017,8711700774017
Co Op,,,,Co Op Frozen British Garden Peas 400G,https://appyshop.co.uk/store-62/frozen-food/fruit-vegetables-1/co-op-garden-peas-pm-5000128889889,5000128889889
,,,,Whitworths Nutty Mix PM1.29 85G,,5000234051811
,,,,Weetabix Minis Chocolate PM2.19 450G,,5010029222852
