brand,description,image_urls,images,name,product_url,sku
Livonia,,,,Lemonade Jungle Strawberry Sparkling 750ML 1 / 6,,4750108005167
Walkers,"Facebook Twitter Since 1948, we've been delighting the nation everyday with our delicious, great tasting crisps. We strive to always give you the very best quality and continue to be made with 100% Great British potatoes. So thank you for choosing us for over 70 years. Walkers has been and always will be made by Britain.",,,Walkers Classic Variety Multipack Crisps 12X25G,https://www.bbfoodservice.co.uk/product/159164-1,5000328377209
,Parsnips covered in honey flavoured batter and ready to roast. **FROZEN PRODUCT**,,,Cream of the Crop Honey Glazed Parsnips 600G,https://britishfoods.es/en/frozen-food/389-cream-of-the-crop-honey-glazed-parsnips-600g-5014733002021.html,5014733002021
Beringer,"Region: Napa County Beringer Classic Cabernet Sauvignon Napa Valley USA. The Beringer California Classic Cabernet Sauvignon is full of jammy black fruit f lavours that make this wine enticing from the first sip. The sweet vanilla and richness of the oak flavours blendseamlessly into the wine, offering just a hint of spice. Easy-drinking and satisfying, this wine is well-suited to a variety of occasions. <Back",,,Beringer Cab Sauv 75cl,https://www.vineshop24.de/weine-aus-aller-welt/usa/beringer-classic-cabernet-sauvignon.html,89819404872
,Best enjoyed within a year of purchase,,,Ogio Pinot Grigio Rose 75Cl,,839728003570
,The Simpsons Eezy Freezy 2in1 Pops,,,The Simpsons Eezy Freezy 2in1 Pops,,5060221248464
Zed Candy,,,,Zed Candy - 5 Jawbreakers - Ice Cream,,5011061112118
,,,,Asiyas Chicken Nuggets 300G,,5026489478982
MRS Crimbles,Mrs Crimbles Jammy Sponge,,,Mrs Crimbles Jammy Sponge,,5010822112053
Double Horse,,,,Double Horse Maida 1KG,https://www.somayaskitchen.co.uk/double-horse-maida-1kg.html,8904011503364
,,,,Natco Jeera Mini Pappadoms 200G,https://www.somayaskitchen.co.uk/natco-jeera-mini-pappadoms.html,5013531001571
,Cigarettes.,,,Winston Blue King Size 20 Pack,,5000143308051
,"Store in a cool, dry place. Once pack is opened store in an airtight container. Place cake on a firm surface. For Best Before see top of pack",,,Avengers Celebration Cake,,5030765028051
Pears,,,,Pears Soft and FR Soap 125GM,,8901030408762
Ola Unilever Retail,"Smooth Vanilla 500ml; Smooth and creamy vanilla just got a whole lot more exciting at 290 calories per tub. Introducing new Breyers Delights, a revolutionary lower calorie ice cream for healthy lifestyle enthusiasts which not only tastes great, but has only 290-350 calories per tub (yep, that's per tub) , lower sugar, up to 20g of protein and is made with fresh cream. What do we do to make our healthy ice cream taste so good; Each tub of high protein ice cream contains 20g of milk protein from two naturally occurring milk proteins; casein and whey. A naturally sourced sweetener, derived from the leaves of the Stevia rebaudiana plant, we use a highly purified extract of the Stevia leaf to give our icecream the sweetness it needs, which means less sugar and less calories per serving. Fresh cream gives our ice cream its deliciously creamy taste and texture. We believe in making the impossible possible by creating a reduced sugar ice cream tub that allows you to limit your calorie intake whilst treating yourself - without compromising on taste. For more information on our lower calorie, deliciously healthy treat range, please visit our website www. breyersdelights. co. uk or follow us on Instagram @BreyersDelightsUK. Storage temperature: -18°C",,,Breyers Smooth Vanilla Ice Cream 500ML,https://carrefour.gospesa.it/turrivalignani/home/3782-breyers-delights-smooth-vaniglia-263-g-8714100648391.html,8714100648391
Duracell,"2 X AA Duracell Battery (Duracell Simply Alkaline Batteries (Type AA) 2X Aa Duracell Battery (Duracell Simply Alkaline Batteries (Type Aa) Simply Duracell provides the quality consumers can expect from Duracell at an affordable price. It is best used in low to moderate-drain devices (radios, remotes, clocks).",,,2 X Aa Duracell Battery (duracell Simply Alkaline Batteries (type Aa),http://www.dealsforyou.uk/2-x-aa-duracell-battery-duracell-simply-alkaline-batteries-type-aa-87-p.asp,5000394035140
